iter	Logloss
147	0.2077624698
148	0.2069740971
149	0.2064537532
150	0.2059387256
151	0.205301047
152	0.2047908834
153	0.2042717679
154	0.2037029835
155	0.2032838941
156	0.2028735221
157	0.2021776437
158	0.2013146739
159	0.2007623132
160	0.2002529808
161	0.1993759658
162	0.1986621617
163	0.1980308456
164	0.1973356285
165	0.1968134991
166	0.1959589775
167	0.1952150064
168	0.1945641483
169	0.19404336
170	0.1934754399
171	0.1929430683
172	0.1925202052
173	0.1918437285
174	0.1912989361
175	0.190925914
176	0.1902805337
177	0.1896097777
178	0.1893037256
179	0.1887235067
180	0.1883610715
181	0.1877893154
182	0.1871307456
183	0.1868959527
184	0.1866154358
185	0.186286695
186	0.1857385514
187	0.1853224736
188	0.1846653942
189	0.1841351907
190	0.1837664795
191	0.183270912
192	0.1829756785
193	0.1824786065
194	0.1820285779
195	0.181518279
196	0.1813487747
197	0.180701846
198	0.1804315361
199	0.1800516887
200	0.1797734314
201	0.179445478
202	0.179203335
203	0.1786660717
204	0.1785078091
205	0.1781910244
206	0.1777366009
207	0.1773087431
208	0.177142256
209	0.1769434302
210	0.1763985924
211	0.1762560476
212	0.1758823404
213	0.175582508
214	0.1752244103
215	0.174706786
216	0.1742796119
217	0.1739723737
218	0.1734942322
219	0.1732387159
220	0.1728774506
221	0.1725185117
222	0.1721566072
223	0.1718424995
224	0.1715748157
225	0.1711795546
226	0.1708574851
227	0.1704483445
228	0.1701675568
229	0.1698669873
230	0.1694899461
231	0.1691942568
232	0.168847624
233	0.168534549
234	0.1684059849
235	0.1681487714
236	0.1678961323
237	0.1677878601
238	0.1673681278
239	0.1671622839
240	0.1670241423
241	0.1668488347
242	0.1663944176
243	0.1661932522
244	0.1660468603
245	0.1656851011
246	0.1654166425
247	0.1651958169
248	0.1649280467
249	0.1646566137
250	0.1642366492
251	0.1640109776
252	0.1636239656
253	0.1634012766
254	0.163204577
255	0.1630492918
256	0.1626597988
257	0.1625226468
258	0.1623055546
259	0.1621834486
260	0.1618512563
261	0.161618469
262	0.1612698972
263	0.1609848929
264	0.1606822558
265	0.1603540835
266	0.1601828102
267	0.159910196
268	0.1595724409
269	0.1591375248
270	0.1588072869
271	0.1582873203
272	0.1581672014
273	0.1579317858
274	0.1576568283
275	0.1575269012
276	0.1573343968
277	0.1572911706
278	0.1570344184
279	0.1567389434
280	0.1565816397
281	0.1564289884
282	0.156229292
283	0.1561266818
284	0.1559019929
285	0.1557616862
286	0.1555259795
287	0.1552408156
288	0.1551869125
289	0.1551354327
290	0.1548073288
291	0.1547110654
292	0.1545862033
293	0.1541948625
294	0.1539299149
295	0.1536489878
296	0.1534203756
297	0.1531571693
298	0.1529307841
299	0.1526974154
300	0.1523747197
301	0.1521302971
302	0.1517846709
303	0.1515607889
304	0.1514151703
305	0.151328772
306	0.1512243214
307	0.1510521217
308	0.1508298005
309	0.1505440293
310	0.1503591192
311	0.1501361094
312	0.1499389297
313	0.1497162224
314	0.1495327666
315	0.1493812325
316	0.1491855374
317	0.1490626494
318	0.1487450671
319	0.1486737601
320	0.1486329592
321	0.1485073412
322	0.1483726274
323	0.1481643326
324	0.1480123281
325	0.1476121009
326	0.1474416952
327	0.1472867351
328	0.1471932897
329	0.1469458761
330	0.146874285
331	0.1466200951
332	0.1464290661
333	0.1463260036
334	0.1460333815
335	0.1457300202
336	0.1455020066
337	0.1452720099
338	0.1450140706
339	0.1448780313
340	0.1446520115
341	0.1442663831
342	0.144157349
343	0.1438833341
344	0.1436053332
345	0.1433239296
346	0.1430967182
347	0.1429665857
348	0.1428621924
349	0.1425840038
350	0.1425150934
351	0.1422979103
352	0.1421680655
353	0.1419100697
354	0.1417698935
355	0.1415429066
356	0.1412088243
357	0.1411108433
358	0.1410507506
359	0.140696208
360	0.1405066631
361	0.1403375732
362	0.1400850134
363	0.1398226189
364	0.139702105
365	0.1395202463
366	0.139222209
367	0.1389774949
368	0.1388539066
369	0.1387221953
370	0.1386012297
371	0.1383078921
372	0.1381622222
373	0.1380217602
374	0.137974971
375	0.137715342
376	0.1375412175
377	0.1373085543
378	0.1369880856
379	0.1367502199
380	0.1364693945
381	0.1362504745
382	0.1360136953
383	0.135813343
384	0.1356511614
385	0.1355496932
386	0.1353856852
387	0.1351432486
388	0.1349098564
389	0.1347988112
390	0.1345407268
391	0.1343827499
392	0.1343362549
393	0.1341701924
394	0.1339144528
395	0.1335926738
396	0.133298443
397	0.1330440103
398	0.1328617781
399	0.1327816291
400	0.1326447048
401	0.1325013654
402	0.1323496335
403	0.132155883
404	0.1319219443
405	0.1316332902
406	0.1314625683
407	0.1312929449
408	0.1310078266
409	0.1307459537
410	0.130534505
411	0.1303148613
412	0.130042486
413	0.1298665498
414	0.1298215036
415	0.1296070695
416	0.129347886
417	0.1291647743
418	0.1290819424
419	0.1288937766
420	0.128640149
421	0.1285095887
422	0.1283293445
423	0.1282140401
424	0.1280193425
425	0.1278552695
426	0.1277047582
427	0.1276213943
428	0.1273969051
429	0.1271850853
430	0.12701397
431	0.1269731184
432	0.1268851811
433	0.1267334538
434	0.1266744479
435	0.1265268392
436	0.126317895
437	0.1260778666
438	0.1258821799
439	0.1256415377
440	0.1254523505
441	0.1254166957
442	0.1252197622
443	0.1250800114
444	0.124853878
445	0.124683334
446	0.1245739606
447	0.1245471404
448	0.1243622353
449	0.1242047292
450	0.1240352971
451	0.123919918
452	0.1237971994
453	0.1236156815
454	0.1234320248
455	0.1233593396
456	0.1231961286
457	0.1230359153
458	0.1228968862
459	0.1227824517
460	0.1225864241
461	0.1225331116
462	0.1225115504
463	0.1223937879
464	0.1223534848
465	0.1222049339
466	0.1220002439
467	0.1218098938
468	0.1216461571
469	0.1215355242
470	0.1214750078
471	0.1213536238
472	0.1212748733
473	0.1210633282
474	0.1208865932
475	0.1208351518
476	0.1206444289
477	0.120549607
478	0.1204138478
479	0.1202804635
480	0.1201702952
481	0.1199921475
482	0.119802786
483	0.1196027342
484	0.1195899017
485	0.1194494837
486	0.1193700028
487	0.1192182569
488	0.1190029841
489	0.1188310645
490	0.1187413085
491	0.1186650688
492	0.1185239866
493	0.1184215182
494	0.1182602956
495	0.1181323505
496	0.1180059904
497	0.1178221915
498	0.1177608438
499	0.1175676951
500	0.1173435359
501	0.1172069806
502	0.1170027236
503	0.1169054377
504	0.116818309
505	0.1166750083
506	0.1165405251
507	0.1163666308
508	0.116221014
509	0.1162146483
510	0.1161470014
511	0.1160180441
512	0.1158489863
513	0.1156876849
514	0.1156203039
515	0.1156099272
516	0.1155921861
517	0.1154675586
518	0.1153433003
519	0.1152645775
520	0.1152541068
521	0.115119852
522	0.114913107
523	0.1147749407
524	0.1146935123
525	0.1145951884
526	0.114481316
527	0.1143437605
528	0.1142371949
529	0.1141747558
530	0.113979237
531	0.1137846639
532	0.113722226
533	0.1135802854
534	0.1135641724
535	0.1134179954
536	0.1133687606
537	0.1132057346
538	0.1130812748
539	0.1129019058
540	0.1127433907
541	0.1126987798
542	0.1125574014
543	0.1125092043
544	0.1124053163
545	0.1123157999
546	0.1121756282
547	0.1120556661
548	0.1118652396
549	0.1116718878
550	0.1115979624
551	0.1114642222
552	0.1113473659
553	0.1112480701
554	0.1111360491
555	0.1110151465
556	0.1108746644
557	0.1108141432
558	0.1107565831
559	0.1106931415
560	0.1105677772
561	0.1104981904
562	0.1103633281
563	0.1102076361
564	0.1102018316
565	0.110065689
566	0.1099265571
567	0.1099119366
568	0.1098243045
569	0.1097002495
570	0.1095462138
571	0.1094413407
572	0.1093563978
573	0.1092616821
574	0.1091452204
575	0.1091188579
576	0.1090146881
577	0.1089355005
578	0.1088236739
579	0.1086923628
580	0.1086018955
581	0.1083711874
582	0.108271254
583	0.1082472163
584	0.1082185408
585	0.1081643665
586	0.1080825456
587	0.1079310049
588	0.1077554337
589	0.1076946306
590	0.1076699366
591	0.1075570784
592	0.1075468756
593	0.1073943404
594	0.107270144
595	0.1071072789
596	0.1070989572
597	0.1070378125
598	0.1069448402
599	0.1067798196
600	0.1066953235
601	0.1066730682
602	0.1065094115
603	0.1063660988
604	0.106143406
605	0.1060637156
606	0.1059873509
607	0.1058710661
608	0.1057997343
609	0.1056870169
610	0.1056643686
611	0.1055701094
612	0.1055051935
613	0.1054209395
614	0.1052692039
615	0.1051077765
616	0.1049591215
617	0.1047882887
618	0.1046895269
619	0.104589504
620	0.1045635315
621	0.1044143028
622	0.1043363289
623	0.1042292657
624	0.1040716701
625	0.103944234
626	0.1038955111
627	0.1038170462
628	0.1036947347
629	0.1036225959
630	0.1035638228
631	0.1034430354
632	0.1034376913
633	0.103402875
634	0.1032796255
635	0.1032648726
636	0.103159877
637	0.103136456
638	0.1029744147
639	0.1028492719
640	0.1027352383
641	0.1026340667
642	0.102525436
643	0.1024634944
644	0.1023435865
645	0.1022072105
646	0.1020791061
647	0.1019828315
648	0.1018934236
649	0.101866291
650	0.1018097823
651	0.1017162886
652	0.1015858592
653	0.1014313652
654	0.1013370676
655	0.101315625
656	0.1012519663
657	0.1012477917
658	0.1011292428
659	0.1009436179
660	0.1008168804
661	0.10076496
662	0.1007189486
663	0.1006303494
664	0.1005851996
665	0.100471298
666	0.1003680886
667	0.100244734
668	0.1001293358
669	0.100048562
670	0.09993381317
671	0.09978580341
672	0.09962069235
673	0.09950780646
674	0.09940368484
675	0.0992384266
676	0.09908004341
677	0.09896279001
678	0.0988406719
679	0.0987288849
680	0.09864373476
681	0.09856436371
682	0.09843456686
683	0.09835234237
684	0.09823917534
685	0.09806792164
686	0.09798202996
687	0.09787731997
688	0.09776693751
689	0.09770108217
690	0.09763002401
691	0.09752771499
692	0.09744123587
693	0.09733416515
694	0.09721441517
695	0.09713180964
696	0.09705204667
697	0.09690204902
698	0.09681680897
699	0.09680585608
700	0.09668830176
701	0.09656088206
702	0.09649497495
703	0.09634727216
704	0.09633630254
705	0.09624491741
706	0.09607762941
707	0.09605739722
708	0.09593117446
709	0.09586743251
710	0.09573292325
711	0.09561951247
712	0.09551678899
713	0.09543505882
714	0.09532356375
715	0.09526778662
716	0.09521990575
717	0.09513949901
718	0.0950497998
719	0.09503703295
720	0.09491621183
721	0.09486251903
722	0.0947710267
723	0.09473964053
724	0.09472937767
725	0.09471377994
726	0.09457201409
727	0.09444198536
728	0.09438839225
729	0.09431894187
730	0.0942050349
731	0.09413689025
732	0.09398801821
733	0.0939528166
734	0.09385099368
735	0.09376163171
736	0.09368237208
737	0.09354020188
738	0.09353447413
739	0.09352660527
740	0.09341970553
741	0.09325617584
742	0.09320872623
743	0.09319804664
744	0.09309284708
745	0.09303099292
746	0.09292153505
747	0.09286029595
748	0.09276265414
749	0.09265364541
750	0.09258976937
751	0.09251850938
752	0.09245050628
753	0.09235422808
754	0.09226152945
755	0.09212840266
756	0.09208907359
757	0.09204022006
758	0.0919675071
759	0.09186943526
760	0.09178177135
761	0.09167206753
762	0.09163447771
763	0.09152095046
764	0.09146639062
765	0.09139856764
766	0.09137361152
767	0.09122085274
768	0.0911571988
769	0.09110286458
770	0.09108900482
771	0.09105620011
772	0.09100835422
773	0.09093421496
774	0.09089502271
775	0.09077875708
776	0.09067287287
777	0.09059422191
778	0.09046947588
779	0.09029492757
780	0.09029173894
781	0.09019508945
782	0.09010490466
783	0.09001248109
784	0.08997792644
785	0.08986838763
786	0.08981006909
787	0.0897736222
788	0.08967763147
789	0.08952786542
790	0.08946220086
791	0.08937237063
792	0.08936845003
793	0.08935546891
794	0.08928295421
795	0.08919071251
796	0.08908466808
797	0.0890317475
798	0.08897191045
799	0.08885954216
800	0.08881363557
801	0.0887024148
802	0.08866428392
803	0.08860894653
804	0.08847304923
805	0.08847067891
806	0.08836736529
807	0.08823374514
808	0.08817645934
809	0.08816440755
810	0.08814272537
811	0.08812897189
812	0.08807654606
813	0.08803379116
814	0.08802666659
815	0.08794610582
816	0.08785168797
817	0.08771186202
818	0.08765480149
819	0.08756174012
820	0.08747254334
821	0.08731245951
822	0.08717962481
823	0.0870555678
824	0.08695068615
825	0.08693956353
826	0.08681708139
827	0.08665918685
828	0.08655658849
829	0.08649815594
830	0.08637040251
831	0.08632500905
832	0.08620336876
833	0.08614071609
834	0.08609366264
835	0.086056051
836	0.08596691305
837	0.08588708838
838	0.08572918294
839	0.08555974165
840	0.08543571256
841	0.08531614115
842	0.08521254703
843	0.08511236477
844	0.08504825431
845	0.08501634736
846	0.08490504126
847	0.08489191657
848	0.08478570381
849	0.0846886167
850	0.0846160551
851	0.08460268947
852	0.08459227399
853	0.08453663089
854	0.08445577564
855	0.08435942207
856	0.08431600759
857	0.08422357399
858	0.08408031283
859	0.08397324146
860	0.08385900471
861	0.08370014938
862	0.08360790869
863	0.08354046204
864	0.08352006368
865	0.08342601669
866	0.08337385745
867	0.08325471112
868	0.0831889315
869	0.08300151919
870	0.08296923088
871	0.08294834671
872	0.08283476006
873	0.08282220421
874	0.08277829765
875	0.08277074521
876	0.08268159989
877	0.08258950095
878	0.08253401559
879	0.08240334571
880	0.08231276261
881	0.08226898001
882	0.08223292077
883	0.08219110607
884	0.08208088872
885	0.08196283975
886	0.08188011609
887	0.08183484612
888	0.08168696968
889	0.08163626909
890	0.0815939993
891	0.08149046054
892	0.08144205037
893	0.08136873759
894	0.08123337417
895	0.0811287668
896	0.08101993937
897	0.0809770993
898	0.08091564624
899	0.08090654432
900	0.08079837136
901	0.0807344145
902	0.08065089235
903	0.08060176657
904	0.08057801227
905	0.08050530802
906	0.08045787585
907	0.08038048586
908	0.0803643778
909	0.08023752904
910	0.08020517573
911	0.08012885942
912	0.08003777492
913	0.07990603518
914	0.07981604605
915	0.07974869469
916	0.07971891859
917	0.0796738912
918	0.07949134566
919	0.07943009555
920	0.0793512573
921	0.07931160012
922	0.07930354576
923	0.07923347586
924	0.0791490223
925	0.07911325405
926	0.07901465995
927	0.07899867233
928	0.07888538987
929	0.07883922244
930	0.07868152339
931	0.07867881296
932	0.07862090358
933	0.07853606111
934	0.07845898808
935	0.07838171597
936	0.07830350294
937	0.07822789237
938	0.07809874531
939	0.07808345578
940	0.07800710379
941	0.07791508333
942	0.07781236422
943	0.07773292419
944	0.07766115181
945	0.07761075488
946	0.07753979756
947	0.07743813742
948	0.07740284774
949	0.07730279176
950	0.07722894792
951	0.07715070364
952	0.07701919786
953	0.07695268017
954	0.0769237115
955	0.07687905465
956	0.07682163736
957	0.07678689321
958	0.0767141152
959	0.07670320362
960	0.0765530226
961	0.07653230267
962	0.0764874899
963	0.07640045073
964	0.07631496758
965	0.07621491498
966	0.07617207522
967	0.07610518844
968	0.07600973653
969	0.07588133984
970	0.07581201057
971	0.07578155294
972	0.07568295937
973	0.07559921161
974	0.07550030854
975	0.07540694502
976	0.07530387301
977	0.07526216442
978	0.07521182329
979	0.07518020717
980	0.07510496355
981	0.07509960233
982	0.07508588185
983	0.07501724415
984	0.07498134512
985	0.0748982634
986	0.0748222127
987	0.07479184278
988	0.07476027777
989	0.07471635409
990	0.0746370459
991	0.07456000765
992	0.07453100809
993	0.07447204197
994	0.07439857415
995	0.07436926241
996	0.07431227187
997	0.07424472625
998	0.07420483242
999	0.07408606115
